group_id,cell_type,organism_group,n_real,n_gen,centroid_cosine,frechet_distance,diversity_ratio,real_intra_cos,gen_intra_cos,expr_pearson_r
4,Actively cycling cells in S/G2/M phase,both,6145,100,0.891230046749115,1.148550241724788,0.9571206569671631,0.025327254086732864,0.06712062656879425,0.999931275844574
17,Actively proliferating cells,both,3338,100,0.8785009980201721,1.160288514679642,0.9594436883926392,0.03856467828154564,0.07755696773529053,0.9999317526817322
39,Alveolar type 1 (AT1) pneumocytes,both,1308,100,0.8727642893791199,1.1160730785474247,0.8778520822525024,0.09225278347730637,0.20313222706317902,0.9999701380729675
12,Alveolar type 2 (AT2) pneumocytes,both,5144,100,0.9168372750282288,1.112769249926083,0.9073927998542786,0.05495085194706917,0.1424691528081894,0.9999608993530273
64,Ameloblasts,both,384,100,0.9110583662986755,1.1486210568693749,0.9417234063148499,0.11495690047740936,0.1665341705083847,0.9999642968177795
20,Antibody-secreting plasma cells,both,2870,100,0.8916407823562622,1.1435666385134744,0.9579119682312012,0.05024770274758339,0.09022091329097748,0.9999831914901733
35,Astrocytes,both,1503,100,0.928469181060791,1.1278442265839148,0.9264196753501892,0.0776909664273262,0.1455548107624054,0.9999692440032959
11,B lymphocytes,both,5201,100,0.9392297267913818,1.102202930690606,0.9346482157707214,0.06970081478357315,0.13049755990505219,0.9999439716339111
42,Basal epithelial cells,both,1228,100,0.8940885066986084,1.0869666775216884,0.8708428740501404,0.10365739464759827,0.21942639350891113,0.999976634979248
6,CD4+ helper T lymphocytes,both,7061,100,0.9025187492370605,1.1313872279526285,0.954173743724823,0.03893613442778587,0.08297804743051529,0.9999446868896484
14,CD4+FOXP3+ regulatory T cells (Tregs),both,4817,100,0.9164872169494629,1.1252194881468371,0.9505858421325684,0.042810145765542984,0.09010890126228333,0.9999787211418152
36,Capillary endothelial cells,both,1454,100,0.914571225643158,1.1038806950787465,0.8918264508247375,0.09009654819965363,0.1885240375995636,0.9999849200248718
15,Cholangiocytes and bile duct epithelial cells,both,3578,100,0.9193743467330933,1.1334768148362981,,,,0.9999529719352722
7,Circulating monocytes,both,5523,100,0.8832444548606873,1.1502372221987613,0.9616599082946777,0.03730306029319763,0.07421297580003738,0.9999874234199524
43,Club (Clara) secretory cells,both,1222,100,0.8933357000350952,1.0899921862072595,0.8803763389587402,0.07793843746185303,0.18823878467082977,0.9999562501907349
13,Erythroid lineage cells,both,4326,100,0.920075535774231,1.1424577716145856,0.9520648717880249,0.04590358957648277,0.09163833409547806,0.999941885471344
32,Excitatory glutamatergic neurons,both,1690,100,0.826387345790863,1.1593837247139123,0.9211558699607849,0.05769168213009834,0.13198716938495636,0.9999678730964661
37,Exhausted T cells,both,1452,100,0.9284366369247437,1.124573323631943,0.948544979095459,0.07723885774612427,0.12471958249807358,0.9999175071716309
3,Fibroblasts and mesenchymal stromal cells,both,5718,100,0.8462300896644592,1.1537918403387124,,,,0.9999732375144958
8,Generic epithelial cells,both,,,,,,,,
2,Heat-shock and stress response cells,both,8283,100,0.8599733710289001,1.1565418897699622,0.9587030410766602,0.02943935990333557,0.0695205107331276,0.999941885471344
40,Hippocampal dentate gyrus granule cells,both,1296,100,0.9135411977767944,1.0444660101984988,0.9393306374549866,0.1591600775718689,0.21017329394817352,0.9999210238456726
46,Inhibitory GABAergic neurons,both,1149,100,0.39407798647880554,1.238838455327981,0.9997142553329468,0.10896697640419006,0.10922159999608994,0.9999234676361084
16,Interferon-stimulated cells,both,3559,100,0.9000433683395386,1.1333873802405967,0.9514392018318176,0.04721347987651825,0.09348157048225403,0.9999710917472839
1,MHC-II-high antigen-presenting cells,both,6827,100,0.9010593891143799,1.1394243778425146,0.957508385181427,0.028972432017326355,0.07023295760154724,0.9999738335609436
54,Mast cells,both,853,100,0.92298424243927,1.0213866267367386,0.8541844487190247,0.1555739790201187,0.27870437502861023,0.9999710917472839
31,Mature red blood cells (erythrocytes),both,1715,100,0.9286677837371826,1.1214328632278447,0.9396348595619202,0.08665351569652557,0.1417878419160843,0.9999557137489319
56,Melanocytes,both,713,100,0.931825578212738,1.0518999353450147,0.9764857292175293,0.16774554550647736,0.18731538951396942,0.9999709129333496
23,Microglia,both,2207,100,0.9278737902641296,1.1094768649805236,0.9384385347366333,0.09838175028562546,0.15388669073581696,0.9999790191650391
25,Mucus-secreting goblet cells,both,2018,100,0.9228385090827942,1.1250383820563772,0.9488305449485779,0.07644511759281158,0.12370288372039795,0.9999738931655884
29,Müller glial cells,both,1814,100,0.9096683859825134,1.157112398773682,0.9648159742355347,0.04666527360677719,0.08020740002393723,0.9999702572822571
9,Natural killer (NK) cells,both,5643,100,0.8951051235198975,1.1449869870579752,0.9651545286178589,0.03282666951417923,0.06652826815843582,0.9999599456787109
